Category,算子,解释
元素运算符,"add(m1, m2)",m1+m2
元素运算符,"sub(m1, m2)",m1-m2
元素运算符,"div(m1, m2)",m1/m2
元素运算符,"mul(m1, m2)",m1*m2
时间序列运算符,"ts_mean(m, v)",过去v期m的平均值
时间序列运算符,"ts_std(m, v)",过去v期m的标准差
时间序列运算符,"ts_delay(m, v)",m滞后v期
时间序列运算符,"ts_delta(m, v)",m与过去v期的差值
时间序列运算符,"ts_pct(m, v)",m与过去v期的变化率
时间序列运算符,"ts_max(m, v)",过去v期m的最大值
时间序列运算符,"ts_min(m, v)",过去v期m的最小值
时间序列运算符,"ts_min_max_diff(m, v)",过去v期m的最大值与最小值的差
时间序列运算符,yoy(m),m的同比值
时间序列运算符,qoq(m),m的环比值
时间序列运算符,ttm(m),m的TTM值
时间序列运算符,"ts_slope(m, v)",过去v期m的斜率
时间序列运算符,"ts_resi(m, v)",过去v期m的残差
时间序列运算符,"ts_rsquare(m, v)",过去v期m的r2
时间序列运算符,"ts_regression_slope(m1, m2, v)",过去v期m1对m2回归的斜率
时间序列运算符,"ts_regression_resi(m1, m2, v)",过去v期m1对m2回归的残差
时间序列运算符,"ts_regression_rsquare(m1, m2, v)",过去v期m1对m2回归的r2
横截面运算符,cs_norm(m),m的横截面标准化
横截面运算符,cs_minmax(m),m的minmax标准化
横截面运算符,cs_rank(m),m的横截面排序
